Day	Session Name	Paper ID	Track	Session start time
Day 3	Findings poster session 1	188	Computational Social Science and Cultural Analytics	10:45
Day 3	Findings poster session 1	633	Computational Social Science and Cultural Analytics	10:45
Day 3	Findings poster session 1	265	Dialogue and Interactive Systems	10:45
Day 3	Findings poster session 1	414	Dialogue and Interactive Systems	10:45
Day 3	Findings poster session 1	717	Dialogue and Interactive Systems	10:45
Day 3	Findings poster session 1	819	Dialogue and Interactive Systems	10:45
Day 3	Findings poster session 1	906	Dialogue and Interactive Systems	10:45
Day 3	Findings poster session 1	787	Discourse and Pragmatics	10:45
Day 3	Findings poster session 1	427	Efficient methods in NLP	10:45
Day 3	Findings poster session 1	669	Efficient methods in NLP	10:45
Day 3	Findings poster session 1	910	Efficient methods in NLP	10:45
Day 3	Findings poster session 1	229	Efficient methods in NLP	10:45
Day 3	Findings poster session 1	236	Efficient methods in NLP	10:45
Day 3	Findings poster session 1	1045	Ethics, Bias, and Fairness	10:45
Day 3	Findings poster session 1	189	Ethics, Bias, and Fairness	10:45
Day 3	Findings poster session 1	136	Interpretability and Analysis of Models for NLP	10:45
Day 3	Findings poster session 1	171	Interpretability and Analysis of Models for NLP	10:45
Day 3	Findings poster session 1	601	Interpretability and Analysis of Models for NLP	10:45
Day 3	Findings poster session 1	625	Interpretability and Analysis of Models for NLP	10:45
Day 3	Findings poster session 1	755	Interpretability and Analysis of Models for NLP	10:45
Day 3	Findings poster session 1	683	Interpretability and Analysis of Models for NLP	10:45
Day 3	Findings poster session 1	219	Machine Learning for NLP: Language Modeling and Sequence to Sequence Models	10:45
Day 3	Findings poster session 1	24	Machine Learning for NLP: Language Modeling and Sequence to Sequence Models	10:45
Day 3	Findings poster session 1	299	Machine Learning for NLP: Language Modeling and Sequence to Sequence Models	10:45
Day 3	Findings poster session 1	485	Machine Learning for NLP: Language Modeling and Sequence to Sequence Models	10:45
Day 3	Findings poster session 1	79	Machine Learning for NLP: Language Modeling and Sequence to Sequence Models	10:45
Day 3	Findings poster session 1	523	Machine Learning for NLP: Language Modeling and Sequence to Sequence Models	10:45
Day 3	Findings poster session 1	337	Machine Learning for NLP: Classification and Structured Prediction Models	10:45
Day 3	Findings poster session 1	138	Multilinguality	10:45
Day 3	Findings poster session 1	63	Multilinguality	10:45
Day 3	Findings poster session 1	691	Multilinguality	10:45
Day 3	Findings poster session 1	890	Multilinguality	10:45
Day 3	Findings poster session 1	323	Question Answering	10:45
Day 3	Findings poster session 1	626	Question Answering	10:45
Day 3	Findings poster session 1	649	Question Answering	10:45
Day 3	Findings poster session 1	682	Question Answering	10:45
Day 3	Findings poster session 1	850	Question Answering	10:45
Day 3	Findings poster session 1	518	Question Answering	10:45
Day 3	Findings poster session 1	88	Question Answering	10:45
Day 3	Findings poster session 1	886	Semantics: Lexical Semantics	10:45
Day 3	Findings poster session 1	176	Semantics: Sentence-level Semantics and Textual Inference	10:45
Day 3	Findings poster session 1	550	Semantics: Sentence-level Semantics and Textual Inference	10:45
Day 3	Findings poster session 1	33	Semantics: Sentence-level Semantics and Textual Inference	10:45
