Day	Session Name	Poster group number	Paper ID	Track	Session start time	Day and time	Type
2	Virtual Poster Q&A Session 2	2	900	Computational Social Science and Cultural Analytics	16:15	Tues 16:15	findings
2	Virtual Poster Q&A Session 2	1	778	Dialogue and Interactive Systems	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	1	849	Dialogue and Interactive Systems	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	1	941	Dialogue and Interactive Systems	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	1	133	Dialogue and Interactive Systems	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	1	37	Dialogue and Interactive Systems	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	1	225	Dialogue and Interactive Systems	16:15	Tues 16:15	findings
2	Virtual Poster Q&A Session 2	1	838	Dialogue and Interactive Systems	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	2	435	Efficient methods in NLP	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	2	554	Efficient methods in NLP	16:15	Tues 16:15	findings
2	Virtual Poster Q&A Session 2	2	815	Efficient methods in NLP	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	2	268	Efficient methods in NLP	16:15	Tues 16:15	findings
2	Virtual Poster Q&A Session 2	2	386	Efficient methods in NLP	16:15	Tues 16:15	findings
2	Virtual Poster Q&A Session 2	3	433	Information Extraction	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	3	502	Information Extraction	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	3	630	Information Extraction	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	3	952	Information Extraction	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	3	734	Information Retrieval and Text Mining	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	3	52	Information Retrieval and Text Mining	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	3	659	Information Retrieval and Text Mining	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	5	316	Interpretability and Analysis of Models for NLP	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	5	438	Interpretability and Analysis of Models for NLP	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	5	113	Interpretability and Analysis of Models for NLP	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	5	521	Interpretability and Analysis of Models for NLP	16:15	Tues 16:15	findings
2	Virtual Poster Q&A Session 2	1	410	Language Generation	16:15	Tues 16:15	findings
2	Virtual Poster Q&A Session 2	1	273	Language Generation	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	4	660	Language Resources and Evaluation	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	4	529	Language Resources and Evaluation	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	4	812	Language Resources and Evaluation	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	4	9	Language Resources and Evaluation	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	4	214	Language Resources and Evaluation	16:15	Tues 16:15	findings
2	Virtual Poster Q&A Session 2	4	407	Language Resources and Evaluation	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	4	688	Language Resources and Evaluation	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	4	619	Machine Translation	16:15	Tues 16:15	findings
2	Virtual Poster Q&A Session 2	4	109	Machine Translation	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	4	260	Machine Translation	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	4	340	Machine Translation	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	4	632	Machine Translation	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	3	595	NLP Applications	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	3	108	NLP Applications	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	3	98	NLP Applications	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	3	180	NLP Applications	16:15	Tues 16:15	findings
2	Virtual Poster Q&A Session 2	2	810	Phonology, Morphology and Word Segmentation	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	5	300	Semantics: Lexical Semantics	16:15	Tues 16:15	findings
2	Virtual Poster Q&A Session 2	5	331	Semantics: Sentence-level Semantics and Textual Inference	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	5	839	Semantics: Sentence-level Semantics and Textual Inference	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	5	29	Semantics: Sentence-level Semantics and Textual Inference	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	5	390	Semantics: Sentence-level Semantics and Textual Inference	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	5	794	Semantics: Sentence-level Semantics and Textual Inference	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	5	224	Semantics: Sentence-level Semantics and Textual Inference	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	5	663	Semantics: Sentence-level Semantics and Textual Inference	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	5	802	Semantics: Sentence-level Semantics and Textual Inference	16:15	Tues 16:15	findings
2	Virtual Poster Q&A Session 2	5	857	Semantics: Sentence-level Semantics and Textual Inference	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	3	49	Sentiment Analysis and Stylistic Analysis	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	3	492	Sentiment Analysis and Stylistic Analysis	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	3	657	Sentiment Analysis and Stylistic Analysis	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	3	513	Sentiment Analysis and Stylistic Analysis	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	2	36-special	Human-Centered NLP	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	2	52-special	Human-Centered NLP	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	2	392	Speech	16:15	Tues 16:15	findings
2	Virtual Poster Q&A Session 2	1	59	Summarization	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	1	324	Summarization	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	1	983	Summarization	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 2	1	480	Summarization	16:15	Tues 16:15	main
2	Virtual Poster Q&A Session 1	6	235	Dialogue and Interactive Systems	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	6	871	Dialogue and Interactive Systems	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	6	93	Dialogue and Interactive Systems	8:00	Tues 8:00	findings
2	Virtual Poster Q&A Session 1	6	428	Dialogue and Interactive Systems	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	6	156	Dialogue and Interactive Systems	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	6	205	Dialogue and Interactive Systems	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	6	334	Dialogue and Interactive Systems	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	6	421	Dialogue and Interactive Systems	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	6	913	Dialogue and Interactive Systems	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	6	194	Dialogue and Interactive Systems	8:00	Tues 8:00	findings
2	Virtual Poster Q&A Session 1	6	365	Dialogue and Interactive Systems	8:00	Tues 8:00	findings
2	Virtual Poster Q&A Session 1	6	696	Dialogue and Interactive Systems	8:00	Tues 8:00	findings
2	Virtual Poster Q&A Session 1	6	731	Dialogue and Interactive Systems	8:00	Tues 8:00	findings
2	Virtual Poster Q&A Session 1	6	680	Dialogue and Interactive Systems	8:00	Tues 8:00	findings
2	Virtual Poster Q&A Session 1	6	789	Dialogue and Interactive Systems	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	6	786	Dialogue and Interactive Systems	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	6	84-srw	Dialogue and Interactive Systems	8:00	Tues 8:00	srw
2	Virtual Poster Q&A Session 1	6	86-srw	Dialogue and Interactive Systems	8:00	Tues 8:00	srw
2	Virtual Poster Q&A Session 1	7	536	Information Extraction	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	7	718	Information Extraction	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	7	888	Information Extraction	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	7	284	Information Extraction	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	7	389	Information Extraction	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	7	572	Information Extraction	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	7	612	Information Extraction	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	7	768	Information Extraction	8:00	Tues 8:00	findings
2	Virtual Poster Q&A Session 1	7	769	Information Extraction	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	7	147	Information Extraction	8:00	Tues 8:00	findings
2	Virtual Poster Q&A Session 1	7	542	Information Extraction	8:00	Tues 8:00	findings
2	Virtual Poster Q&A Session 1	7	658	Information Extraction	8:00	Tues 8:00	findings
2	Virtual Poster Q&A Session 1	7	298	Information Retrieval and Text Mining	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	7	780	Information Retrieval and Text Mining	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	7	726	Information Retrieval and Text Mining	8:00	Tues 8:00	findings
2	Virtual Poster Q&A Session 1	7	798	Information Retrieval and Text Mining	8:00	Tues 8:00	findings
2	Virtual Poster Q&A Session 1	7	514	Information Retrieval and Text Mining	8:00	Tues 8:00	findings
2	Virtual Poster Q&A Session 1	8	716	Interpretability and Analysis of Models for NLP	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	8	899	Interpretability and Analysis of Models for NLP	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	8	357	Interpretability and Analysis of Models for NLP	8:00	Tues 8:00	findings
2	Virtual Poster Q&A Session 1	8	302	Interpretability and Analysis of Models for NLP	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	8	678	Interpretability and Analysis of Models for NLP	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	8	76-srw	Interpretability and Analysis of Models for NLP	8:00	Tues 8:00	srw
2	Virtual Poster Q&A Session 1	8	168	Linguistic Theories, Cognitive Modeling and Psycholinguistics	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	9	705	Machine Learning for NLP: Classification and Structured Prediction Models	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	9	217	Machine Learning for NLP: Classification and Structured Prediction Models	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	9	963	Machine Learning for NLP: Classification and Structured Prediction Models	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	9	967	Machine Learning for NLP: Classification and Structured Prediction Models	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	9	976	Machine Learning for NLP: Classification and Structured Prediction Models	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	9	269	Machine Learning for NLP: Classification and Structured Prediction Models	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	9	326	Machine Learning for NLP: Classification and Structured Prediction Models	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	9	446	Machine Learning for NLP: Classification and Structured Prediction Models	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	9	807	Machine Learning for NLP: Classification and Structured Prediction Models	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	9	1049	Machine Learning for NLP: Classification and Structured Prediction Models	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	9	635	Machine Learning for NLP: Language Modeling and Sequence to Sequence Models	8:00	Tues 8:00	findings
2	Virtual Poster Q&A Session 1	9	24	Machine Learning for NLP: Language Modeling and Sequence to Sequence Models	8:00	Tues 8:00	findings
2	Virtual Poster Q&A Session 1	9	253	Machine Learning for NLP: Language Modeling and Sequence to Sequence Models	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	9	237	Machine Learning for NLP: Language Modeling and Sequence to Sequence Models	8:00	Tues 8:00	findings
2	Virtual Poster Q&A Session 1	9	347	Machine Learning for NLP: Language Modeling and Sequence to Sequence Models	8:00	Tues 8:00	findings
2	Virtual Poster Q&A Session 1	9	374	Machine Learning for NLP: Language Modeling and Sequence to Sequence Models	8:00	Tues 8:00	findings
2	Virtual Poster Q&A Session 1	9	671	Machine Learning for NLP: Language Modeling and Sequence to Sequence Models	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	9	921	Machine Learning for NLP: Language Modeling and Sequence to Sequence Models	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	9	179	Machine Learning for NLP: Language Modeling and Sequence to Sequence Models	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	9	19-srw	Machine Learning for NLP: Language Modeling and Sequence to Sequence Models	8:00	Tues 8:00	srw
2	Virtual Poster Q&A Session 1	9	842	Machine Learning for NLP: Language Modeling and Sequence to Sequence Models	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	8	482	Machine Translation	8:00	Tues 8:00	main
2	Virtual Poster Q&A Session 1	8	493	Machine Translation	8:00	Tues 8:00	main
