number,title,authorids,authors,decision
5,Scalable and Robust Self-Learning for Skill Routing in Large-Scale Conversational AI Systems,~Mohammad_Kachuee1|~Jinseok_Nam1|~Sarthak_Ahuja1|~Jin-Myung_Won1|~SUNGJIN_LEE1,Mohammad Kachuee|Jinseok Nam|Sarthak Ahuja|Jin-Myung Won|SUNGJIN LEE,Accept (Poster)
17,AB/BA analysis: A framework for estimating keyword spotting recall improvement while maintaining audio privacy,~Raphael_Petegrosso1|~VasistaKrishna_Baderdinnni1|~Thibaud_Senechal4|~Benjamin_Bullough1,Raphael Petegrosso|VasistaKrishna Baderdinnni|Thibaud Senechal|Benjamin Bullough,Accept (Poster)
22,Temporal Generalization for Spoken Language Understanding,~Judith_Gaspers1|~Anoop_Kumar1|~Greg_Ver_Steeg1|~Aram_Galstyan1,Judith Gaspers|Anoop Kumar|Greg Ver Steeg|Aram Galstyan,Accept (Poster)
24,An End-to-End Dialogue Summarization System for Sales Calls,~Abedelkadir_Asi1|~Song_Wang10|~Roy_Eisenstadt1|dean.geckt@microsoft.com|yarinkuper@microsoft.com|~Yi_Mao1|royir@microsoft.com,Abedelkadir Asi|Song Wang|Roy Eisenstadt|Dean Geckt|Yarin Kuper|Yi Mao|Royi Ronen,Accept (Poster)
26,Controlled Data Generation via Insertion Operations for NLU,~Manoj_Kumar2|~Yuval_Merhav1|~Haidar_Khan1|~Rahul_Gupta3|~Anna_Rumshisky1|~Wael_Hamza1,Manoj Kumar|Yuval Merhav|Haidar Khan|Rahul Gupta|Anna Rumshisky|Wael Hamza,Accept (Poster)
28,Easy and Efficient Transformer: Scalable Inference Solution For Large NLP Model,~Li_GongZheng_LGZ1|~Yadong_Xi1|dingjingzhen@corp.netease.com|wangduan@corp.netease.com|~Ziyang_Luo2|~Rongsheng_Zhang1|hzliubai@corp.netease.com|~Changjie_Fan1|maoxiaoxi@corp.netease.com|hzzhaozeng@corp.netease.com,Li GongZheng LGZ|Yadong Xi|Jingzhen Ding|Duan Wang|Ziyang Luo|Rongsheng Zhang|Bai Liu|Changjie Fan|Xiaoxi Mao|Zeng Zhao,Accept (Poster)
36,Efficient Semi-supervised Consistency Training for Natural Language Understanding,~George_Leung1|jshtan@amazon.com,George Leung|Joshua Tan,Accept (Poster)
37,Distantly Supervised Aspect Clustering And Naming For E-Commerce Reviews,~Prateek_Sircar1|~Aniket_Chakrabarti1|~DEEPAK_GUPTA5|majumda@amazon.com,Prateek Sircar|Aniket Chakrabarti|DEEPAK GUPTA|Anirban Majumder,Accept (Poster)
42,CULG: Commercial Universal Language Generation,~Haonan_Li2|~yameng_huang1|~Yeyun_Gong2|~Jian_Jiao2|~Ruofei_Zhang1|~Timothy_Baldwin1|~Nan_Duan1,Haonan Li|yameng huang|Yeyun Gong|Jian Jiao|Ruofei Zhang|Timothy Baldwin|Nan Duan,Accept (Poster)
43,Constraining word alignments with posterior regularization for label transfer,~Thomas_Gueudre1|~Kevin_Martin_Jose1,Thomas Gueudre|Kevin Martin Jose,Accept (Poster)
45,Explaining the Effectiveness of Multi-Task Learning for Efficient Knowledge Extraction from Spine MRI Reports,~Arijit_Sehanobish1|~McCullen_Sandora1|~Nabila_Abraham1|jayashri.pawar@coverahealth.com|danielle.torres@coverahealth.com|~Anasuya_Das1|murray.becker@coverahealth.com|rherzog@coverahealth.com|~Benjamin_Odry1|ron.vianu@coverahealth.com,Arijit Sehanobish|McCullen Sandora|Nabila Abraham|Jayashri Pawar|Danielle Torres|Anasuya Das|Murray Becker|Richard Herzog|Benjamin Odry|Ron Vianu,Accept (Poster)
51,Asynchronous Convergence in Multi-Task Learning via Knowledge Distillation from Converged Tasks,~Weiyi_Lu2|~Sunny_Rajagopalan1|~Priyanka_Nigam1|~Jaspreet_Singh1|~Xiaodi_Sun1|~Yi_Xu10|~Belinda_Zeng1|~Trishul_Chilimbi1,Weiyi Lu|Sunny Rajagopalan|Priyanka Nigam|Jaspreet Singh|Xiaodi Sun|Yi Xu|Belinda Zeng|Trishul Chilimbi,Accept (Poster)
53,Augmenting Training Data for Massive Semantic Matching Models in Low-Traffic E-commerce Stores,~Ashutosh_Joshi1|shavis@amazon.com|~Choon_Hui_Teo1|~Vaclav_Petricek1|vishy@amazon.com|rbhagat@amazon.com|~Jonathan_May1,Ashutosh Joshi|Shankar Vishwanath|Choon Hui Teo|Vaclav Petricek|Vishy Vishwanathan|Rahul Bhagat|Jonathan May,Accept (Poster)
60,Retrieval Based Response Letter Generation For a Customer Care Setting,~Biplob_Biswas1|~Renhao_Cui1|~Rajiv_Ramnath2,Biplob Biswas|Renhao Cui|Rajiv Ramnath,Accept (Poster)
69,Knowledge extraction from aeronautical messages (NOTAMs) with self-supervised language models for aircraft pilots,alexandre.arnold@airbus.com|fares.ernez@airbus.com|~Catherine_Kobus2|marion-cecile.martin@airbus.com,Alexandre Arnold|Fares Ernez|Catherine Kobus|Marion-Cécile Martin,Accept (Poster)
70,Intent Discovery for Enterprise Virtual Assistants: Applications of Utterance Embedding and Clustering to Intent Mining,~Minhua_Chen3|~Badrinath_Jayakumar2|mjohnston@interactions.com|~S._Eman_Mahmoodi1|~Daniel_Pressel1,Minhua Chen|Badrinath Jayakumar|Michael Johnston|S. Eman Mahmoodi|Daniel Pressel,Accept (Poster)
74,Lightweight Transformers for Conversational AI,~Daniel_Pressel1|~Wenshuo_Liu1|mjohnston@interactions.com|~Minhua_Chen3,Daniel Pressel|Wenshuo Liu|Michael Johnston|Minhua Chen,Accept (Poster)
84,{NER-MQMRC}: {F}ormulating Named Entity Recognition as Multi Question Machine Reading Comprehension,~Anubhav_Shrimal1|~Avi_Jain1|~Kartik_Mehta1|~Promod_Yenigalla2,Anubhav Shrimal|Avi Jain|Kartik Mehta|Promod Yenigalla,Accept (Poster)
89,What Do Users Care About? Detecting Actionable Insights from User Feedback,~Kasturi_Bhattacharjee1|~Rashmi_Gangadharaiah2|~Kathleen_McKeown1|~Dan_Roth3,Kasturi Bhattacharjee|Rashmi Gangadharaiah|Kathleen McKeown|Dan Roth,Accept (Poster)
93,Developing a Production System for {P}urpose of {C}all Detection in Business Phone Conversations,~Elena_Khasanova1|phiranandani@dialpad.com|sgardiner@dialpad.com|cchen@dialpad.com|scorston-oliver@dialpad.com|xue-yong@dialpad.com,Elena Khasanova|Pooja Hiranandani|Shayna Gardiner|Cheng Chen|Simon Corston-Oliver|Xue-Yong Fu,Accept (Poster)
94,Adversarial Text Normalization,~Joanna_Bitton1|~Maya_Pavlova1|~Ivan_Evtimov2,Joanna Bitton|Maya Pavlova|Ivan Evtimov,Accept (Poster)
99,Constraint-based Multi-hop Question Answering with Knowledge Graph,~Sayantan_Mitra1|~Roshni_Ramnani1|~Shubhashis_Sengupta1,Sayantan Mitra|Roshni Ramnani|Shubhashis Sengupta,Accept (Poster)
103,Fast Bilingual Grapheme-To-Phoneme Conversion,~Hwa-Yeon_Kim1|jhwan.kim@navercorp.com|kjm.kim@navercorp.com,Hwa-Yeon Kim|Jong-Hwan Kim|Jae-Min Kim,Accept (Poster)
108,Knowledge Extraction From Texts Based on Wikidata,~Anastasia_Shimorina1|~Johannes_Heinecke1|frederic.herledan@orange.com,Anastasia Shimorina|Johannes Heinecke|Frédéric Herledan,Accept (Poster)
115,{AIT-QA}: {Q}uestion Answering Dataset over Complex Tables in the Airline Industry,~Yannis_Katsis1|~Saneem_Ahmed_Chemmengath1|~vishwajeet_kumar1|~Samarth_Bharadwaj2|~MUSTAFA_CANIM1|~Michael_Glass1|~Alfio_Gliozzo1|~Feifei_Pan3|~Jaydeep_Sen1|~Karthik_Sankaranarayanan1|~Soumen_Chakrabarti1,Yannis Katsis|Saneem Ahmed Chemmengath|vishwajeet kumar|Samarth Bharadwaj|MUSTAFA CANIM|Michael Glass|Alfio Gliozzo|Feifei Pan|Jaydeep Sen|Karthik Sankaranarayanan|Soumen Chakrabarti,Accept (Poster)
117,Parameter-efficient Continual Learning Framework in Industrial Real-time Text Classification System,~Tao_Zhu3|~Zhe_Zhao1|~Weijie_Liu2|~Jiachi_Liu1|~Yiren_Chen1|~Weiquan_Mao1|~Haoyan_Liu1|~Kunbo_Ding1|~Yudong_Li1|~Xuefeng_Yang1|kimmoyan@tencent.com,Tao Zhu|Zhe Zhao|Weijie Liu|Jiachi Liu|Yiren Chen|Weiquan Mao|Haoyan Liu|Kunbo Ding|Yudong Li|Xuefeng Yang|Kimmo Yan,Accept (Poster)
122,Fast and Light-Weight Answer Text Retrieval in Dialogue Systems,~Hui_Wan1|siva.sankalp.patel@ibm.com|~J_William_Murdock1|~Saloni_Potdar1|~Sachindra_Joshi1,Hui Wan|Siva Sankalp Patel|J William Murdock|Saloni Potdar|Sachindra Joshi,Accept (Poster)
125,BLINK with Elasticsearch for Efficient Entity Linking in Business Conversations,~Md_Tahmid_Rahman_Laskar2|cchen@dialpad.com|aliaksandr.martsinovich@dialpad.com|jonathan@dialpad.com|xue-yong@dialpad.com|sbhushan@dialpad.com|scorston-oliver@dialpad.com,Md Tahmid Rahman Laskar|Cheng Chen|Aliaksandr Martsinovich|Jonathan Johnston|Xue-Yong Fu|Shashi Bhushan Tn|Simon Corston-Oliver,Accept (Poster)
128,Q2R: A Query-to-Resolution System for Natural-Language Queries,~Shiau_Hong_Lim1|~Laura_Wynter1,Shiau Hong Lim|Laura Wynter,Accept (Poster)
134,{I}dentifying {C}orporate {C}redit {R}isk {S}entiments from {F}inancial {N}ews,~Noujoud_Ahbali2|~Xinyuan_Liu2|~Albert_Aristotle_Nanda1|jamie.stark@moodys.com|~Ashit_Talukder3|~Rupinder_Paul_Khandpur2,Noujoud Ahbali|Xinyuan Liu|Albert Aristotle Nanda|Jamie Stark|Ashit Talukder|Rupinder Paul Khandpur,Accept (Poster)
